,Unnamed: 0,addressType,basementArea,caseUrl,energyLabel,housingArea,lotArea,monthlyExpense,numberOfFloors,numberOfRooms,perAreaPrice,priceCash,priceChangePercentage,yearBuilt,municipalityCode,numberOfBuildings,zipCode,municipality,latitude,longitude,basement,lot
0,0,villa,60.0,https://www.brikk.dk/ejendom/industrivej-2-6622-baekke/,d,210.0,1233.0,1718,2.0,6.0,4629.0,1148000,0.0,1968.0,575,1,6622,Vejen,55.57129,9.146651,1,1
1,1,farm,0.0,https://www.estaldo.com/listing/22fa0be5-dd95-4110-8e58-afb0f940d873,e,472.0,84093.0,2334,1.0,4.0,6345.0,2995000,0.0,1936.0,860,1,9800,Hjørring,57.41679,9.964815,0,1
2,2,villa,127.0,https://www.brikk.dk/ejendom/storegade-33-6640-lunderskov/,e,124.0,614.0,2169,3.0,5.0,9783.0,2095000,0.0,1945.0,621,1,6640,Kolding,55.479263,9.298074,1,1
3,3,villa,69.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=220583&shopno=260110&fromsite=boligsiden&csref=boligsiden,e,69.0,497.0,2415,2.0,2.0,23841.0,1645000,0.0,1946.0,400,1,3700,Bornholm,55.10923,14.709151,1,1
4,4,villa,80.0,https://www.danbolig.dk?propertyid=0950000496&brokerid=095,c,179.0,1078.0,3634,2.0,5.0,31648.0,5665000,0.0,1961.0,630,1,7100,Vejle,55.694424,9.553193,1,1
5,5,villa,0.0,https://home.dk/sag/6120000398,c,139.0,635.0,2064,1.0,4.0,11115.0,1645000,0.0,1986.0,707,1,8500,Norddjurs,56.420555,10.854384,0,1
6,6,villa,0.0,https://maeglerhuset.dk/redirect.php?sagsnr=006859&mgl=9000,d,135.0,715.0,2209,1.0,5.0,18198.0,2495000,0.0,1963.0,851,1,9270,Aalborg,57.011974,10.05451,0,1
7,7,villa,0.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R365&sagsnr=36522613,e,110.0,700.0,2010,1.0,4.0,11236.0,1295000,0.0,1966.0,370,1,4700,Næstved,55.21812,11.807974,0,1
8,8,holiday house,0.0,https://jyskmaegler.dk/bolig/pandrup-9490-gl-jacobsvej-1/,a2010,123.0,2929.0,2555,1.0,4.0,25667.0,2695000,0.0,1890.0,849,1,9490,Jammerbugt,57.211323,9.541658,0,1
9,9,terraced house,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=6024383&shopno=270110&fromsite=boligsiden&csref=boligsiden,b,100.0,0.0,2501,1.0,4.0,45434.0,4498000,0.0,1983.0,751,1,8260,Aarhus,56.12511,10.179234,0,0
10,10,villa,0.0,https://www.danbolig.dk?propertyid=1910000176&brokerid=191,d,185.0,4054.0,1389,1.0,4.0,3807.0,795000,0.0,1877.0,860,1,9760,Hjørring,57.394592,9.8989315,0,1
11,11,villa,29.0,https://www.brikk.dk/ejendom/udbyhoejvej-188-8930-randers-noe/,c,157.0,1274.0,2403,3.0,6.0,10111.0,1588000,0.0,1922.0,730,1,8930,Randers,56.4752,10.073946,1,1
12,12,cooperative,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=202461&shopno=100250&fromsite=boligsiden&csref=boligsiden,c,97.0,0.0,4391,1.0,3.0,4761.0,461840,0.0,2003.0,615,1,8700,Horsens,55.863285,9.845079,0,0
13,13,condo,0.0,https://www.danbolig.dk?propertyid=2700000093&brokerid=270,c,91.0,0.0,2133,1.0,4.0,15374.0,1399000,0.0,1971.0,461,1,5250,Odense,55.363533,10.347954,0,0
14,14,villa,43.0,https://www.lokalbolig.dk/?sag=06-X0000757,e,95.0,1382.0,3280,1.0,4.0,22598.0,2775000,0.0,1955.0,270,1,3220,Gribskov,56.057438,12.09955,1,1
15,15,villa,0.0,http://tanjamathiesen.dk/sag/195TPM-001389/skovvangsvej-92-4600-koege-stroeby-egede,d,151.0,1019.0,2970,1.0,4.0,18833.0,2889000,0.0,1971.0,336,1,4600,Stevns,55.411522,12.242128,0,1
16,16,terraced house,56.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=3327732&shopno=260404&fromsite=boligsiden&csref=boligsiden,d,95.0,313.0,2764,3.0,4.0,22010.0,2595000,0.0,1918.0,316,1,4300,Holbæk,55.707916,11.70982,1,1
17,17,condo,0.0,https://www.danbolig.dk?propertyid=2720000072&brokerid=272,d,54.0,0.0,1833,1.0,2.0,66574.0,3595000,0.0,1970.0,101,1,1666,København,55.669807,12.547394,0,0
18,18,holiday house,0.0,http://www.thomas-risager.dk/sag.aspx?mgl=1818&sagsnr=FH30476,,125.0,2988.0,4166,1.0,4.0,35076.0,4595000,0.0,2012.0,860,1,9850,Hjørring,57.565926,9.929423,0,1
19,19,villa,0.0,https://www.robinhus.dk/redirect/?caseno=NMI-0000045,d,157.0,743.0,3286,1.0,4.0,27409.0,4495000,0.0,1963.0,253,1,2670,Greve,55.601036,12.318145,0,1
20,20,villa,0.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R705&sagsnr=70502598,c,133.0,771.0,2743,1.0,4.0,17581.0,2398000,0.0,1979.0,740,1,8600,Silkeborg,56.182236,9.566557,0,1
21,21,terraced house,0.0,https://www.edc.dk/sag/?sagsnr=85305041,b,97.0,153.0,2180,2.0,5.0,24784.0,2295000,0.0,1986.0,751,1,8520,Aarhus,56.240864,10.241283,0,1
22,22,villa,0.0,https://home.dk/sag/8080001648,e,157.0,930.0,2091,1.0,5.0,8109.0,1295000,0.0,1964.0,860,1,9800,Hjørring,57.44609,9.986774,0,1
23,23,holiday house,0.0,https://www.danbolig.dk?propertyid=2040000266&brokerid=204,,86.0,1322.0,1778,1.0,4.0,12383.0,1195000,0.0,1979.0,390,1,4760,Vordingborg,54.974903,11.995589,0,1
24,24,villa,0.0,https://www.edc.dk/sag/?sagsnr=67602154,c,190.0,15000.0,1538,1.0,5.0,16579.0,3150000,0.0,1920.0,561,1,6771,Esbjerg,55.39661,8.685585,0,1
25,25,villa,0.0,https://www.edc.dk/sag/?sagsnr=61011838,d,153.0,862.0,2258,1.0,5.0,12697.0,2095000,0.0,1973.0,575,1,6600,Vejen,55.4669,9.132425,0,1
26,26,villa,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=717767&shopno=220085&fromsite=boligsiden&csref=boligsiden,g,86.0,1824.0,1121,1.0,3.0,4087.0,375000,0.0,1929.0,530,1,6623,Billund,55.622894,9.143626,0,1
27,27,villa,0.0,https://www.danbolig.dk?propertyid=1010000043&brokerid=101,d,126.0,809.0,2677,1.0,4.0,21790.0,2995000,0.0,1969.0,259,1,4623,Køge,55.50838,12.129669,0,1
28,28,villa,0.0,https://www.danbolig.dk?propertyid=3200000063&brokerid=320,d,142.0,3307.0,1924,2.0,4.0,14407.0,2295000,0.0,1877.0,330,1,4200,Slagelse,55.31844,11.376626,0,1
29,29,villa,0.0,https://www.edc.dk/sag/?sagsnr=82407070,c,183.0,1012.0,2909,2.0,5.0,21123.0,3800000,0.0,1977.0,751,1,8541,Aarhus,56.267147,10.306425,0,1
30,30,villa,40.0,https://johnfrandsen.dk/sag/STRV2263/havremarken-1-resen-7600-struer/,d,172.0,886.0,1678,1.0,5.0,5352.0,1045000,0.0,1974.0,671,1,7600,Struer,56.51633,8.539435,1,1
31,31,villa,165.0,https://www.lokalbolig.dk/?sag=13-X0001065,e,251.0,1116.0,9482,3.0,6.0,44703.0,14495000,0.0,1932.0,157,1,2900,Gentofte,55.731277,12.554959,1,1
32,32,cooperative,0.0,https://www.edc.dk/sag/?sagsnr=45503706,d,97.0,2443.0,5730,1.0,3.0,4897.0,475000,0.0,2005.0,306,1,4540,Odsherred,55.803772,11.441138,0,1
33,33,villa,0.0,https://ejendroem.dk/ejendomme/engparken-69-6740-bramming/,c,136.0,750.0,1761,1.0,5.0,11739.0,1748000,0.0,1971.0,561,1,6740,Esbjerg,55.46902,8.712665,0,1
34,34,farm,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=98301880&shopno=240263&fromsite=boligsiden&csref=boligsiden,a2020,210.0,18860.0,2497,3.0,6.0,9332.0,2145000,0.0,2002.0,813,1,9750,Frederikshavn,57.354042,10.213681,0,1
35,35,villa,15.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=I2204-08&shopno=260412&fromsite=boligsiden&csref=boligsiden,c,139.0,958.0,3474,1.0,5.0,38088.0,5995000,0.0,1939.0,183,1,2635,Ishøj,55.62516,12.34949,1,1
36,36,villa,74.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=183422&shopno=105241&fromsite=boligsiden&csref=boligsiden,d,74.0,908.0,4697,2.0,3.0,51749.0,5475000,0.0,1935.0,159,1,2860,Gladsaxe,55.72292,12.51348,1,1
37,37,condo,0.0,https://home.dk/sag/1120000776,d,93.0,0.0,2951,1.0,4.0,39247.0,3650000,0.0,1932.0,101,1,2720,København,55.69383,12.493236,0,0
38,38,villa,18.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R611&sagsnr=611-2914,d,105.0,781.0,1889,1.0,4.0,6812.0,795000,0.0,1967.0,390,1,4780,Vordingborg,54.972683,12.270536,1,1
