,titles,bewohner,gesucht,size,cost,apartment size,viertel
0,gemütliche WG mit großem Wohnzimmer & Innenhof :),"2er WG (1w,0m,0d)",Mitbewohnerin oder Mitbwohner gesucht,15.0,568.0,80.0,50825 Köln Ehrenfeld
1,altbau room at kalk post october-february,"2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,20.0,450.0,False,51105 Köln Kalk
2,WG-Zimmer in Lindenthaler Villa mit Garten,"13er WG (0w,9m,0d)",Malmännliche,22.0,375.0,400.0,50931 Köln Lindenthal
3,WG-Zimmer in Lindenthaler Villa mit Garten,"13er WG (0w,9m,0d)",Malmännliche,18.0,290.0,400.0,50931 Köln Lindenthal
4,Gemütliches Zimmer in Loft Wg,"5er WG (0w,4m,0d)",Malmännliche,12.0,407.0,200.0,51103 Köln Kalk
5,"24qm City,Uni,Uni-Klinik,schönes Zimmer möbliert,ruhig,Petersbergstr.30","2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,24.0,460.0,False,50939 Köln Sülz
6,ZWISCHENMIETE Uninähe Sülz,"3er WG (1w,1m,0d)",Malmännliche,13.0,360.0,False,50937 Köln Köln
7,"24qm City,Uni,Uni-Klinik,schönes Zimmer möbliert,ruhig,Petersbergstr.30","2er WG (0w,1m,0d)",Mitbewohner gesuch,24.0,460.0,False,50939 Köln Sülz
8,"Schönes vollmöbliertes,  30m³ großes Zimmer in Marienburg","2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,30.0,620.0,False,50968 Köln Marienburg
9,Möbliertes Zimmer in Altbauwohnung in der Innenstadt zur Zwischenmiete,"4er WG (0w,2m,0d)",Malmännliche,13.0,550.0,120.0,50672 Köln Belgische Viertel
10,Möbliertes Zimmer in Altbauwohnung in der Innenstadt,"4er WG (0w,2m,0d)",Malmännliche,20.0,750.0,120.0,50672 Köln Belgisches Viertel
11,Schönes helles vollmöbliertes Zimmer in wunderschönem renoviertem Altbau in der Südstadt,"2er WG (0w,0m,1d)",Mitbewohnerin oder Mitbwohner gesucht,25.0,650.0,65.0,50678 Köln Severinsviertel
