,titles,bewohner,gesucht,size,cost,apartment size,viertel
0,Helles möbliert Zimmer im Epizentrum von Köln Mülheim (€360 August/ €485 Sept),"3er WG (0w,2m,0d)",Malmännliche,20.0,485.0,110.0,51065 Köln Mülheim
1,"Unmöbliertes 21qm großes,helles Zimmer in 91qm großer Wohnung","2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,21.0,370.0,91.0,50354 Köln Hürth
2,Helles WG-Zimmer im Herzen Ehrenfelds - Zwischenmiete,"2er WG (1w,0m,0d)",Mitbewohnerin oder Mitbwohner gesucht,16.0,650.0,75.0,50823 Köln Ehrenfeld
3,Großes WG-Zimmer in Köln-Neuehrenfeld,"2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,19.0,635.0,79.0,50823 Köln Neuehrenfeld
4,"Modernes Zimmer in Haus mit großem Garten, 20min mit der S-Bahn zum Hbf","4er WG (2w,1m,0d)",weiblich,20.0,525.0,155.0,50769 Köln Roggendorf/Thenhoven
5,Mitbewohner gesucht für Zimmer in 4er WG in Weidenpesch!,"4er WG (0w,3m,0d)",Malmännliche,12.0,342.0,106.0,50737 Köln Weidenpesch
6,Zwischenmiete - Helles freundliches zentrales WG Zimmer,"3er WG (1w,1m,0d)",Malmännliche,18.0,500.0,94.0,50969 Köln Zollstock
7,Traumhaftes Altbauzimmer in Köln Kalk,"4er WG (1w,2m,0d)",Malmännliche,21.0,470.0,110.0,51105 Köln Kalk
8,WG-Zimmer mit großer Terrasse,"3er WG (1w,1m,0d)",Malmännliche,14.0,375.0,False,50668 Köln Altstadt-Nord
9,Möbiliertes 19qm Zimmer in 4er WG Ehrenfeld-Bickendorf,"4er WG (2w,1m,0d)",weiblich,19.0,470.0,130.0,50827 Köln Ehrenfeld-Bickendorf
10,Ein fantastisches Zimmer! Groß und schön und alt und bei uns,"3er WG (1w,1m,0d)",Malmännliche,22.0,410.0,110.0,51105 Köln Kalk
11,"Ruhiges, helles, möbiliertes Zimmer auf Zeit im grünen Bayenthal.","3er WG (1w,1m,0d)",Malmännliche,15.0,520.0,72.0,50968 Köln Bayenthal
12,WG Zimmer Köln Riehl,"3er WG (0w,2m,0d)",Malmännliche,14.0,470.0,False,50735 Köln Riehl
